service_id,date,exception_type
O_10_3,20260211,1
O_10_1,20260211,2
O_10_3,20260223,1
O_10_1,20260223,2
O_10_3,20260320,1
O_10_1,20260320,2
O_11_3,20260211,1
O_11_1,20260211,2
O_11_3,20260223,1
O_11_1,20260223,2
O_11_3,20260320,1
O_11_1,20260320,2
O_20_3,20260211,1
O_20_1,20260211,2
O_20_3,20260223,1
O_20_1,20260223,2
O_20_3,20260320,1
O_20_1,20260320,2
O_30_3,20260211,1
O_30_1,20260211,2
O_30_3,20260223,1
O_30_1,20260223,2
O_30_3,20260320,1
O_30_1,20260320,2
O_40_3,20260211,1
O_40_1,20260211,2
O_40_3,20260223,1
O_40_1,20260223,2
O_40_3,20260320,1
O_40_1,20260320,2
O_41_3,20260211,1
O_41_1,20260211,2
O_41_3,20260223,1
O_41_1,20260223,2
O_41_3,20260320,1
O_41_1,20260320,2
O_50_3,20260211,1
O_50_1,20260211,2
O_50_3,20260223,1
O_50_1,20260223,2
O_50_3,20260320,1
O_50_1,20260320,2
